SNR, EbN0, FER, sigma, testsCount, time(ms)
-1, 6.03471, 0, 0.793387, 100000, 24397
-0.8, 6.23471, 0, 0.775327, 100000, 29070
-0.6, 6.43471, 0, 0.757679, 100000, 26150
