SNR, EbN0, FER, sigma, testsCount, time(ms)
-6, 0.0205999, 1, 1.41086, 20, 81
-5.8, 0.2206, 1, 1.37875, 20, 79
-5.6, 0.4206, 1, 1.34736, 20, 80
-5.4, 0.6206, 1, 1.31669, 20, 79
-5.2, 0.8206, 0.952381, 1.28672, 21, 83
-5, 1.0206, 1, 1.25743, 20, 80
-4.8, 1.2206, 0.869565, 1.22881, 23, 91
-4.6, 1.4206, 0.909091, 1.20084, 22, 86
-4.4, 1.6206, 0.740741, 1.17351, 27, 104
-4.2, 1.8206, 0.454545, 1.14679, 44, 161
-4, 2.0206, 0.235294, 1.12069, 85, 283
-3.8, 2.2206, 0.0628931, 1.09518, 318, 941
-3.6, 2.4206, 0.017452, 1.07025, 1146, 3142
-3.4, 2.6206, 0.00448632, 1.04589, 4458, 11011
-3.2, 2.8206, 0.0010352, 1.02208, 19320, 44291
-3, 3.0206, 0.000817929, 0.998815, 24452, 52019
-2.8, 3.2206, 0.000383127, 0.976079, 52202, 104173
-2.6, 3.4206, 0.000205984, 0.953861, 97095, 182788
-2.4, 3.6206, 0.00014, 0.932148, 100000, 179011
-2.2, 3.8206, 6e-05, 0.91093, 100000, 170481
-2, 4.0206, 5e-05, 0.890195, 100000, 163144
-1.8, 4.2206, 1e-05, 0.869931, 100000, 156852
-1.6, 4.4206, 1e-05, 0.850129, 100000, 151073
-1.4, 4.6206, 0, 0.830778, 100000, 145595
-1.2, 4.8206, 0, 0.811867, 100000, 141335
